application_id,application_name,cpu_usage,memory_usage,age_years,criticality,compliance_flag,dependency_ids,dependency_count
APP001,extend wireless infrastructures,0.57,0.95,9,High,1,"APP133,APP100,APP070,APP066",4
APP002,grow innovative architectures,0.91,0.5,3,Low,1,"APP129,APP060,APP044",3
APP003,evolve seamless action-items,0.76,0.46,3,Low,1,APP132,1
APP004,strategize cross-platform vortals,0.16,0.81,1,High,1,"APP024,APP068,APP142,APP021",4
APP005,e-enable bricks-and-clicks methodologies,0.79,0.39,7,Low,0,"APP109,APP075,APP002",3
APP006,productize killer schemas,0.17,0.86,8,Low,1,"APP008,APP052,APP085",3
APP007,enable strategic e-markets,0.36,0.45,10,Medium,0,APP060,1
APP008,e-enable e-business metrics,0.84,0.31,2,Medium,1,,0
APP009,exploit best-of-breed e-tailers,0.78,0.88,5,High,0,"APP113,APP122,APP129,APP024,APP106",5
APP010,transition 24/7 metrics,0.99,0.49,5,Medium,0,"APP037,APP057,APP122",3
APP011,reinvent next-generation solutions,0.64,0.54,11,Low,0,"APP040,APP110,APP103",3
APP012,integrate seamless paradigms,0.38,0.88,6,Low,0,"APP010,APP117,APP082,APP013",4
APP013,mesh integrated deliverables,0.57,0.46,3,Medium,0,"APP075,APP120,APP060,APP028,APP148",5
APP014,streamline sticky content,0.3,0.58,8,Medium,1,"APP089,APP033",2
APP015,monetize turn-key technologies,0.77,0.24,5,Medium,1,,0
APP016,generate killer partnerships,0.38,0.93,11,Low,0,"APP123,APP060,APP013,APP137,APP097",5
APP017,incentivize web-enabled portals,0.95,0.4,15,Low,1,"APP104,APP133,APP010",3
APP018,streamline customized solutions,0.34,0.9,5,High,0,"APP085,APP030,APP062",3
APP019,empower efficient portals,0.18,0.52,11,Medium,0,,0
APP020,innovate integrated users,0.88,0.85,1,Low,0,,0
APP021,envisioneer global web services,0.61,0.53,4,Medium,1,,0
APP022,incentivize open-source ROI,0.96,0.32,13,Medium,1,"APP122,APP150",2
APP023,generate web-enabled experiences,0.67,0.42,1,Low,0,"APP090,APP083,APP063,APP059",4
APP024,matrix vertical convergence,0.67,0.89,4,High,0,APP112,1
APP025,syndicate front-end niches,0.36,1.0,2,High,0,APP073,1
APP026,leverage bricks-and-clicks synergies,0.67,0.8,2,High,1,"APP140,APP008,APP038",3
APP027,synthesize proactive models,0.99,0.55,4,Medium,0,APP109,1
APP028,reinvent next-generation systems,0.67,0.17,2,High,1,"APP078,APP095,APP073,APP071",4
APP029,whiteboard back-end functionalities,0.79,0.75,12,Medium,0,"APP148,APP055",2
APP030,evolve impactful e-markets,0.86,0.5,5,Medium,1,,0
APP031,deploy viral methodologies,0.25,0.84,12,Medium,1,APP097,1
APP032,visualize clicks-and-mortar e-commerce,0.74,0.99,3,Medium,1,APP015,1
APP033,transition transparent interfaces,0.89,0.83,9,Low,1,"APP036,APP150,APP104,APP080",4
APP034,visualize leading-edge models,0.64,0.54,9,Low,1,"APP135,APP145",2
APP035,e-enable transparent markets,0.62,0.81,1,Medium,0,,0
APP036,incentivize robust portals,0.35,0.14,9,Low,0,"APP068,APP138,APP078",3
APP037,streamline real-time relationships,0.15,0.28,7,Low,1,"APP115,APP070,APP145,APP085,APP001",5
APP038,re-contextualize global content,0.11,0.28,7,High,1,"APP114,APP025,APP120",3
APP039,harness proactive relationships,0.87,1.0,10,High,1,"APP097,APP054,APP033",3
APP040,brand visionary applications,0.68,0.75,14,Low,1,"APP050,APP023,APP071",3
APP041,redefine cross-platform applications,0.3,0.37,2,Medium,0,,0
APP042,seize wireless markets,0.27,0.31,12,Low,1,"APP117,APP049",2
APP043,repurpose cross-platform users,0.73,0.28,14,Low,1,"APP104,APP128,APP132",3
APP044,architect end-to-end mindshare,0.91,0.71,6,High,0,"APP090,APP084,APP017,APP147,APP110",5
APP045,drive B2C web services,0.85,0.38,7,Medium,0,"APP003,APP039,APP111,APP110,APP034",5
APP046,synthesize 24/7 systems,0.81,0.95,12,Medium,1,APP014,1
APP047,re-intermediate integrated portals,0.48,0.84,7,Medium,1,,0
APP048,scale frictionless vortals,0.8,0.94,13,Medium,1,"APP024,APP065,APP095,APP085,APP045",5
APP049,synthesize cross-media interfaces,0.55,0.72,15,Medium,0,"APP060,APP044,APP043,APP081",4
APP050,re-contextualize world-class ROI,0.17,0.91,10,Low,0,APP029,1
APP051,synthesize clicks-and-mortar e-markets,0.44,0.28,2,Medium,0,"APP135,APP022,APP025",3
APP052,enable enterprise paradigms,0.17,0.62,8,Low,0,"APP091,APP050,APP122,APP092,APP107",5
APP053,exploit value-added metrics,0.47,0.72,10,Medium,0,"APP075,APP063,APP038,APP072",4
APP054,extend robust web-readiness,0.91,0.11,12,High,1,,0
APP055,repurpose bricks-and-clicks info-mediaries,0.13,0.86,1,Low,0,"APP135,APP043,APP093,APP137",4
APP056,enable turn-key initiatives,0.18,0.95,9,High,1,"APP110,APP108,APP032,APP150",4
APP057,leverage B2C markets,0.89,0.23,14,Medium,0,"APP146,APP056,APP063,APP139",4
APP058,target e-business experiences,0.58,0.78,1,Medium,0,APP030,1
