application_id,application_name,cpu_usage,memory_usage,age_years,criticality,compliance_flag,dependency_ids,dependency_count
APP001,re-intermediate rich schemas,0.4,0.1,6,Low,0,"APP599,APP341,APP610,APP583",4
APP002,extend revolutionary interfaces,0.65,0.78,11,Medium,1,"APP105,APP197",2
APP003,whiteboard scalable paradigms,0.2,0.68,9,High,1,"APP157,APP230",2
APP004,implement transparent web-readiness,0.35,0.24,5,Low,0,"APP140,APP355,APP660",3
APP005,morph open-source e-tailers,0.52,0.21,1,Medium,0,"APP013,APP345,APP220,APP475,APP635",5
APP006,repurpose real-time platforms,0.51,0.65,1,Low,0,"APP265,APP602",2
APP007,harness vertical infrastructures,0.3,0.58,15,Low,0,APP276,1
APP008,leverage dot-com platforms,0.82,0.2,14,Medium,1,"APP614,APP228,APP328",3
APP009,re-contextualize granular ROI,0.7,0.21,5,High,0,"APP260,APP403,APP195",3
APP010,leverage distributed info-mediaries,0.54,0.78,15,Medium,1,0,0
APP011,productize robust applications,0.93,0.11,11,Medium,1,"APP071,APP081",2
APP012,redefine value-added niches,0.88,0.74,10,Medium,1,"APP168,APP321,APP328",3
APP013,incentivize 24/7 communities,0.11,0.93,1,High,0,"APP438,APP319",2
APP014,repurpose plug-and-play applications,0.27,0.82,11,Medium,0,"APP499,APP676,APP016",3
APP015,e-enable cutting-edge supply-chains,0.32,0.68,10,High,1,"APP208,APP106,APP588,APP561,APP425",5
APP016,reinvent global e-markets,0.42,0.8,2,High,1,"APP514,APP125",2
APP017,disintermediate world-class action-items,0.62,0.46,10,High,1,"APP165,APP133,APP203,APP498,APP645",5
APP018,architect synergistic e-services,0.73,0.72,8,High,0,"APP607,APP083,APP624,APP612,APP269",5
APP019,aggregate e-business metrics,0.63,0.2,15,Medium,1,0,0
APP020,morph scalable platforms,0.83,0.67,3,Medium,0,"APP154,APP162",2
APP021,redefine wireless eyeballs,0.14,0.65,12,Low,1,"APP017,APP640,APP691",3
APP022,unleash plug-and-play channels,0.68,0.68,12,Medium,1,"APP230,APP469,APP502",3
APP023,reinvent distributed e-services,0.41,0.88,10,High,0,APP210,1
APP024,deliver 24/7 infrastructures,0.23,0.11,14,Low,0,"APP132,APP187,APP318",3
APP025,facilitate proactive users,0.61,0.76,4,Low,0,"APP519,APP340,APP467,APP696,APP066",5
APP026,revolutionize interactive e-business,0.41,0.4,2,Medium,1,"APP311,APP573,APP269,APP627,APP514",5
APP027,revolutionize visionary architectures,0.45,0.63,8,Low,0,"APP654,APP691,APP300",3
APP028,grow dot-com platforms,0.45,0.84,9,Medium,0,"APP384,APP678,APP319,APP202,APP637",5
APP029,synthesize open-source e-commerce,0.22,0.62,4,Medium,0,"APP108,APP509,APP599,APP551,APP289",5
APP030,brand robust experiences,0.65,0.5,1,Medium,1,0,0
APP031,transform killer synergies,0.86,0.56,9,High,1,"APP662,APP351,APP250",3
APP032,optimize plug-and-play eyeballs,0.88,0.66,5,Medium,0,"APP582,APP446,APP249,APP442,APP683",5
APP033,matrix open-source e-business,0.54,0.91,1,Low,0,"APP504,APP135,APP032,APP348",4
APP034,morph transparent infrastructures,0.89,0.54,15,Medium,1,"APP228,APP408,APP418,APP121",4
APP035,drive customized action-items,0.34,0.31,3,High,0,0,0
APP036,synthesize scalable channels,0.15,0.41,1,High,1,"APP606,APP070,APP518,APP140,APP259",5
APP037,syndicate magnetic experiences,0.59,0.36,9,High,1,"APP183,APP053,APP531,APP027,APP204",5
APP038,innovate 24/365 users,0.88,0.64,1,Medium,0,APP634,1
APP039,syndicate next-generation action-items,0.58,0.86,15,Low,0,APP023,1
APP040,incentivize cross-media methodologies,0.24,0.85,2,Medium,1,0,0
APP041,embrace frictionless e-markets,0.13,0.21,9,High,0,0,0
APP042,syndicate granular initiatives,0.51,0.26,15,High,1,0,0
APP043,enable open-source functionalities,0.37,0.38,8,Medium,0,APP532,1
APP044,maximize B2C e-markets,0.39,0.13,1,Low,1,"APP141,APP164",2
APP045,incubate bricks-and-clicks infrastructures,0.61,0.29,9,Medium,0,"APP397,APP573,APP431,APP617,APP406",5
APP046,leverage interactive markets,0.52,0.52,7,High,0,"APP647,APP694,APP574,APP228",4
APP047,generate viral architectures,0.47,0.51,4,Low,0,"APP437,APP052,APP096",3
APP048,enhance next-generation e-tailers,0.68,0.24,7,High,1,"APP576,APP651,APP396",3
APP049,transform world-class functionalities,0.86,0.79,12,Low,1,"APP521,APP400,APP673,APP026",4
APP050,envisioneer strategic relationships,0.62,0.62,7,High,0,"APP289,APP306,APP645,APP546,APP319",5
APP051,enable dynamic communities,0.55,0.26,14,Low,0,0,0
APP052,streamline 24/7 experiences,0.87,0.28,14,High,1,"APP149,APP492,APP533",3
APP053,matrix world-class deliverables,0.74,0.96,7,High,0,"APP096,APP125,APP642,APP412,APP429",5
APP054,transform holistic applications,0.6,0.21,1,High,1,0,0
APP055,embrace clicks-and-mortar partnerships,0.46,0.83,3,Low,1,APP084,1
APP056,redefine enterprise e-tailers,0.85,0.27,11,Low,1,"APP494,APP196,APP630,APP262",4
APP057,implement one-to-one metrics,0.44,0.82,7,Medium,0,"APP230,APP350,APP684,APP274",4
APP058,mesh 24/365 partnerships,0.57,0.75,4,Medium,1,0,0
APP059,incentivize distributed e-business,0.6,0.44,5,High,1,0,0
APP060,synergize out-of-the-box networks,0.53,0.18,4,Low,1,"APP606,APP687",2
APP061,synthesize visionary applications,0.4,0.3,13,Medium,1,"APP365,APP189",2
APP062,maximize robust metrics,0.89,0.99,15,Low,0,"APP269,APP539",2
APP063,evolve granular models,0.71,0.5,6,Low,1,"APP271,APP677,APP659",3
APP064,unleash compelling channels,0.35,0.11,11,Low,0,"APP181,APP604,APP073,APP006,APP613",5
APP065,innovate dynamic applications,0.27,0.86,3,High,0,APP545,1
APP066,evolve bleeding-edge technologies,0.93,0.99,3,Medium,0,APP218,1
APP067,brand revolutionary e-tailers,0.41,0.66,7,High,1,"APP304,APP073,APP274,APP059",4
APP068,maximize clicks-and-mortar models,0.11,0.86,12,Low,0,"APP409,APP290,APP087,APP421",4
APP069,streamline clicks-and-mortar infrastructures,0.33,0.22,5,High,0,"APP386,APP194,APP260,APP029,APP155",5
APP070,leverage enterprise paradigms,0.47,0.11,13,Medium,1,APP282,1
APP071,optimize sticky interfaces,0.99,0.16,2,High,1,"APP339,APP670,APP130",3
APP072,incubate impactful synergies,0.97,0.32,1,Medium,1,0,0
APP073,leverage global e-business,0.25,0.57,3,Medium,1,APP453,1
APP074,evolve virtual networks,0.92,0.43,10,High,0,0,0
APP075,monetize best-of-breed e-services,0.56,0.76,1,Medium,0,"APP243,APP373,APP056",3
APP076,generate dot-com content,0.36,0.45,2,Low,1,APP331,1
APP077,orchestrate dynamic communities,0.3,0.11,6,High,0,0,0
APP078,strategize killer e-business,0.41,0.46,14,Low,1,"APP565,APP172,APP598,APP070",4
APP079,whiteboard intuitive experiences,0.17,0.68,1,High,1,"APP456,APP177,APP372,APP051,APP264",5
APP080,unleash turn-key action-items,0.99,0.17,14,Medium,0,APP180,1
APP081,matrix front-end web services,0.4,0.35,2,Low,0,APP473,1
APP082,drive ubiquitous metrics,0.38,0.4,9,High,1,"APP295,APP312,APP016,APP598",4
APP083,matrix dot-com info-mediaries,0.74,0.87,1,Low,1,"APP427,APP476,APP349,APP539",4
APP084,incubate customized supply-chains,0.74,0.29,7,Low,0,0,0
APP085,streamline best-of-breed markets,0.54,0.72,5,Medium,0,0,0
APP086,grow interactive deliverables,0.6,0.4,13,High,1,"APP455,APP476,APP685,APP445",4
APP087,repurpose holistic content,0.64,0.31,9,High,0,0,0
APP088,scale virtual markets,0.83,0.59,14,Medium,1,"APP560,APP445,APP605,APP015,APP194",5
APP089,cultivate seamless convergence,0.92,0.74,9,Low,1,0,0
APP090,synergize 24/365 systems,0.68,0.56,8,Low,1,"APP139,APP022,APP500,APP085",4
APP091,empower web-enabled vortals,0.73,0.86,3,Medium,1,"APP688,APP046,APP594,APP670",4
APP092,syndicate cutting-edge metrics,0.81,0.44,13,Low,1,"APP618,APP604,APP606,APP307",4
APP093,unleash magnetic solutions,0.43,0.3,8,Medium,0,"APP528,APP022",2
APP094,transform dynamic architectures,0.51,0.63,14,High,1,0,0
APP095,extend vertical systems,0.38,0.71,15,Medium,0,0,0
APP096,redefine clicks-and-mortar action-items,0.76,0.38,2,Medium,0,"APP360,APP636,APP497",3
APP097,envisioneer customized e-tailers,0.32,0.12,8,Medium,1,APP029,1
APP098,envisioneer B2C metrics,0.79,0.16,6,Low,0,"APP548,APP547",2
APP099,deliver best-of-breed e-business,0.55,0.63,10,Medium,1,"APP127,APP609,APP470",3
APP100,revolutionize B2C content,0.3,0.53,14,Medium,1,"APP145,APP517,APP594,APP546,APP317",5
APP101,orchestrate synergistic ROI,0.28,0.4,10,High,0,APP631,1
APP102,re-contextualize bricks-and-clicks web-readiness,0.76,0.52,12,High,0,"APP219,APP141",2
